"x","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39"
0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,1.86175,1.86175,1.86175,5.0,9.73784e-10,1.86175,1.86175,1.86175,5.0,5.0,1.86175,1.86175,1.86175,7.10441e-10,5.0,5.0,1.34824,7.10441e-10,5.0,0.368163,5.0,7.10441e-10,1.8179e-09,1.10294,5.0,5.0,7.24585e-12,5.0,5.0,4.49849,5.0
1e-10,5.0,1.0,5.0,0.0,0.0,5.0,5.16904,5.03758,1.99708,1.99308,1.73419,5.16975,0.0189926,2.00147,2.00199,1.73073,5.16963,5.0333,1.99994,1.99724,1.73273,0.00107105,5.00284,5.01099,1.35838,0.000309731,4.99984,0.361756,4.99899,5.70385e-05,-5.28841e-06,1.10297,5.00012,5.00207,2.21843e-05,5.01426,5.01732,4.53282,5.01048
2e-10,5.0,2.0,5.0,0.0,0.0,5.0,4.84159,5.04711,2.07867,2.16619,1.42874,4.78685,0.0926769,1.85141,2.08919,1.50572,4.84136,5.02472,2.0833,2.17266,1.42016,0.000637109,5.01266,5.00866,1.36465,-0.000308186,4.99796,0.327463,4.99654,0.000226143,-1.44913e-05,1.10291,5.00023,5.00813,3.20014e-05,5.02852,5.03181,4.58329,5.01221
3e-10,5.0,3.0,5.0,0.0,0.0,5.0,3.34542,4.96911,2.01211,2.46661,1.04055,2.94241,0.206309,1.0654,1.84314,1.89001,3.33754,4.92559,2.01627,2.48439,1.02483,-0.00236346,5.01895,4.97845,1.34675,-0.001694,4.99478,0.269513,4.99327,0.000131916,-3.62932e-05,1.10277,5.0003,5.01486,1.25076e-05,5.01923,5.05944,4.66625,4.98887
4e-10,5.0,4.0,5.0,0.0,0.0,5.0,0.317102,4.20882,2.43309,3.09359,0.943004,0.126698,0.111533,0.275481,1.08254,3.39004,0.316206,4.18383,2.42503,3.15933,0.944013,-0.018079,4.98936,4.92369,1.29167,-0.00360784,4.9889,0.149476,4.9863,-0.000887764,-9.75719e-05,1.10259,4.99972,5.00156,-2.44947e-05,4.77685,5.12686,4.83345,4.76261
5e-10,5.0,5.0,5.0,0.0,0.0,5.0,0.103304,3.96295,3.27194,3.76864,0.268275,0.0487004,0.0953491,0.205547,0.214737,4.36034,0.103113,3.93923,3.25769,3.85231,0.274107,-0.0120077,4.99575,4.9273,1.23161,8.40909e-05,4.98738,0.0805716,4.98954,-8.01837e-05,0.000141781,1.10294,4.99988,5.0018,1.8425e-05,4.56471,5.20725,4.97823,4.54943
6e-10,5.0,5.0,5.0,0.0,0.0,5.0,0.0275721,4.01117,3.63896,4.31299,0.0826455,-0.00422591,0.0426966,0.0712627,0.0377351,4.79012,0.0273341,3.9961,3.62134,4.38091,0.0823742,-0.00217059,4.99217,4.97413,1.2201,0.00203175,4.98896,0.0501146,4.99212,-3.49653e-05,3.73396e-05,1.10313,4.99984,4.99861,5.50546e-06,4.52338,5.28103,5.0207,4.51564
7e-10,5.0,5.0,5.0,0.0,0.0,5.0,0.0221534,4.15521,3.90426,4.65564,0.0388346,-0.00130689,0.0214177,0.0313387,0.00952455,4.93798,0.0221102,4.14293,3.88827,4.69033,0.0379366,0.00266679,4.99545,4.9929,1.2185,0.0012896,4.99087,0.03403,4.99378,9.40039e-05,-1.65603e-05,1.10306,4.99991,4.99844,3.53025e-05,4.56813,5.31254,5.01816,4.56249
8e-10,5.0,5.0,5.0,0.0,0.0,5.0,0.017689,4.2967,4.11074,4.83425,0.0214104,-0.000486756,0.0117943,0.0151431,0.00232763,4.98305,0.0177008,4.28591,4.09688,4.85034,0.020816,0.00403383,4.99775,4.99826,1.2181,0.000596548,4.99262,0.0230886,4.9951,0.000118663,-1.5271e-05,1.10299,4.99996,4.99888,-1.07551e-05,4.63122,5.32901,5.01116,4.62621
9e-10,5.0,5.0,5.0,0.0,0.0,5.0,0.0142639,4.42274,4.27932,4.92153,0.0135431,-0.000195875,0.00741442,0.00864531,0.000563614,4.99539,0.0143758,4.41336,4.26773,4.92851,0.0132952,0.00403836,4.99894,4.99958,1.21798,0.000277191,4.99419,0.0160474,4.99624,0.000108025,-6.73884e-06,1.10296,4.99999,4.9993,-3.94383e-06,4.693,5.33709,5.00595,4.68843
