"Density of states at Vg=0 and Vd=0.4","Density of states at Vg=0.05 and Vd=0.4","Density of states at Vg=0.1 and Vd=0.4","Density of states at Vg=0.15 and Vd=0.4","Density of states at Vg=0.2 and Vd=0.4","Density of states at Vg=0.25 and Vd=0.4","Density of states at Vg=0.3 and Vd=0.4","Density of states at Vg=0.35 and Vd=0.4","Density of states at Vg=0.4 and Vd=0.4","Density of states at Vg=0.45 and Vd=0.4","Density of states at Vg=0.5 and Vd=0.4","Density of states at Vg=0.55 and Vd=0.4","Density of states at Vg=0.6 and Vd=0.4"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
"-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198","-9.21034037198"
